"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Hips-Huvhips4F1","5d","100ng/mL","GSE39210","MicroArray","HuGene-1_0-st-v1","TGFBR3","3.138","4.047","True"
"Induced Chondrocyte","","","GSE69459","MicroArray","HuGene-1_0-st-v1","LHFPL2","-1.662","-4.047","False"
"Induced Mesenchymal Stromal","","100ng/mL","GSE62783","MicroArray","HG-U133_Plus_2","XPA","-0.771","-4.047","False"
"Ipsc3.12","3d","","GSE25557","MicroArray","HuGene-1_0-st-v1","ACKR3","2.219","4.047","True"
"Embryonic Stem","1d","100ng/mL","GSE29421","MicroArray","HuEx-1_0-st-v2","PNN","1.396","4.045","False"
"H9","3d","","GSE25557","MicroArray","HuGene-1_0-st-v1","BNIP3","2.418","4.043","True"
"Embryonic Stem","1d","100ng/mL","GSE29421","MicroArray","HuEx-1_0-st-v2","OLFML3","-1.395","-4.043","False"
"Hips-Huvhips4F3","5d","100ng/mL","GSE39210","MicroArray","HuGene-1_0-st-v1","MAGI3","2.157","4.042","True"
"H9 Hesc","48h","50ng/mL","GSE76586","RNASeq","","SRSF1","2.056","4.042","True"
"Hips-Huvhips4F3","5d","100ng/mL","GSE39210","MicroArray","HuGene-1_0-st-v1","RELN","2.156","4.042","True"
"Hes-H9","5d","100ng/mL","GSE39210","MicroArray","HuGene-1_0-st-v1","ARHGAP29","1.239","4.041","True"
"Hesc Line H1","","","GSE21715","MicroArray","GPL10399","CFLAR","1.960","4.041","True"
"H1 Hesc","48h","50ng/mL","GSE41009","RNASeq","","CST1","-1.783","-4.041","False"
"H9 Hesc","6h","50ng/mL","GSE76586","RNASeq","","JUND","1.442","4.041","False"
"Pbmc","","","GSE78276","RNASeq","","XCL1","0.762","4.040","True"
"Embryonic Stem","3d","100ng/mL","GSE29421","MicroArray","HuEx-1_0-st-v2","IGFBP5","1.784","4.038","True"
"Induced Chondrocyte","","","GSE69459","MicroArray","HuGene-1_0-st-v1","PLCE1","1.658","4.038","False"
"H9","3d","","GSE25557","MicroArray","HuGene-1_0-st-v1","HAPLN3","-2.415","-4.037","True"
"H9","3d","","GSE25557","MicroArray","HuGene-1_0-st-v1","ARRB1","2.414","4.036","True"
"Hips-Huvhips4F1","5d","100ng/mL","GSE39210","MicroArray","HuGene-1_0-st-v1","CRHBP","3.128","4.034","True"
"Embryonic Stem","3d","100ng/mL","GSE29421","MicroArray","HuEx-1_0-st-v2","MFAP3L","1.782","4.034","True"
"Hips-Huvhips4F1","5d","100ng/mL","GSE39210","MicroArray","HuGene-1_0-st-v1","IGSF10","3.127","4.033","True"
"Pbmc","","","GSE78276","RNASeq","","BCL2A1","-0.760","-4.032","True"
