"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Fibroblast","8h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","RFC3","0.503","4.451","False"
"Primary Keratinocyte","","","GSE36287","MicroArray","HG-U133_Plus_2","IGFBP2","-1.104","-4.450","True"
"Primary Keratinocyte","","","GSE12109","MicroArray","GPL571","SLC2A3","-0.998","-4.450","True"
"Su-Dhl2","72h","200pg/mL","GSE115855","MicroArray","GPL13497","NLRP5","0.830","4.448","False"
"Epidermal Keratinocyte","24h","","GSE53751","MicroArray","HG-U133_Plus_2","LINC00520","1.447","4.447","True"
"Epidermal Keratinocyte","24h","","GSE53751","MicroArray","HG-U133_Plus_2","CRYAB","1.447","4.445","True"
"Cultured Primary Keratinocyte","","1ng/mL","GSE24767","MicroArray","GPL6947","MMP9","-0.599","-4.445","True"
"Fibroblast","1h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","FMO3","-0.727","-4.443","False"
"Fibroblast","2h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","EGR1","0.699","4.442","False"
"Fibroblast","24h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","MCM8","-0.647","-4.439","False"
"Fibroblast","12h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","IFIT1","-0.535","-4.438","False"
"Epidermal Keratinocyte","24h","","GSE53751","MicroArray","HG-U133_Plus_2","RNF128","1.444","4.437","True"
"Dendritic","","","GSE53163","MicroArray","HG-U133_Plus_2","F13A1","-2.238","-4.436","False"
"Reconstructed Epidermis","","200ng/mL","GSE52361","MicroArray","HG-U133_Plus_2","SHOC1","1.336","4.436","True"
"Fibroblast","1h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","NTNG1","-0.726","-4.436","False"
"Fibroblast","2h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","AOX1","-0.698","-4.436","False"
