,plate_name,position,sample,pool,concentration,concentration_unit,antigen_in_sample,variable,value
209,CALI1,C10,AgPool5,5,23.592959999999998,ng/mL,IL-12 p70,IL-23,0.13334058309659724
210,CALI1,D03,AgPool2,2,14400.0,ng/mL,IL-23,IL-23,48.75843384288103
211,CALI1,D04,AgPool2,2,9.437184,ng/mL,IL-23,IL-23,0.3477116104463107
212,CALI1,D07,AgPool4,4,14400.0,ng/mL,IL-12 p40,IL-23,-1.3633018303117694
213,CALI1,D08,AgPool4,4,9.437184,ng/mL,IL-12 p40,IL-23,-1.5821767085590466
214,CALI1,D09,AgPool5,5,14400.0,ng/mL,IL-12 p70,IL-23,0.42963328717249283
215,CALI1,D10,AgPool5,5,9.437184,ng/mL,IL-12 p70,IL-23,-0.15359518872184452
216,CALI1,E03,AgPool2,2,5760.0,ng/mL,IL-23,IL-23,40.7305890234678
217,CALI1,E04,AgPool2,2,3.774874,ng/mL,IL-23,IL-23,-0.03697256664096926
218,CALI1,E07,AgPool4,4,5760.0,ng/mL,IL-12 p40,IL-23,0.012923197625980265
219,CALI1,E08,AgPool4,4,3.774874,ng/mL,IL-12 p40,IL-23,0.20204732069224463
220,CALI1,E09,AgPool5,5,5760.0,ng/mL,IL-12 p70,IL-23,2.439831111078128
221,CALI1,E10,AgPool5,5,3.774874,ng/mL,IL-12 p70,IL-23,-0.01279703950132216
222,CALI1,F03,AgPool2,2,2304.0,ng/mL,IL-23,IL-23,30.69340175932247
223,CALI1,F04,AgPool2,2,1.509949,ng/mL,IL-23,IL-23,-0.9498524245698192
224,CALI1,F07,AgPool4,4,2304.0,ng/mL,IL-12 p40,IL-23,-0.4045068928226314
225,CALI1,F08,AgPool4,4,1.509949,ng/mL,IL-12 p40,IL-23,-0.12787677548349308
226,CALI1,F09,AgPool5,5,2304.0,ng/mL,IL-12 p70,IL-23,1.0011747254381476
227,CALI1,F10,AgPool5,5,1.509949,ng/mL,IL-12 p70,IL-23,-0.4090244197222148
228,CALI1,G03,AgPool2,2,921.6,ng/mL,IL-23,IL-23,20.346066327254952
229,CALI1,G04,AgPool2,2,0.60398,ng/mL,IL-23,IL-23,0.8004920839910667
230,CALI1,G07,AgPool4,4,921.6,ng/mL,IL-12 p40,IL-23,-1.1975484054975283
231,CALI1,G08,AgPool4,4,0.60398,ng/mL,IL-12 p40,IL-23,-0.09889147410557797
232,CALI1,G09,AgPool5,5,921.6,ng/mL,IL-12 p70,IL-23,1.8200001199511817
233,CALI1,G10,AgPool5,5,0.60398,ng/mL,IL-12 p70,IL-23,1.2800499890078143
234,CALI1,H03,AgPool2,2,368.64000000000004,ng/mL,IL-23,IL-23,9.834273199806631
235,CALI1,H04,AgPool2,2,0.241592,ng/mL,IL-23,IL-23,-0.1416252422847819
236,CALI1,H07,AgPool4,4,368.64000000000004,ng/mL,IL-12 p40,IL-23,-0.3237547459052692
237,CALI1,H08,AgPool4,4,0.241592,ng/mL,IL-12 p40,IL-23,0.8446048417376062
238,CALI1,H09,AgPool5,5,368.64000000000004,ng/mL,IL-12 p70,IL-23,0.2514341807758669
239,CALI1,H10,AgPool5,5,0.241592,ng/mL,IL-12 p70,IL-23,-0.5555875564368762
240,CALI2,A03,AgPool2,2,225000.0,ng/mL,IL-23,IL-23,57.49973249418403
241,CALI2,A04,AgPool2,2,147.45600000000002,ng/mL,IL-23,IL-23,3.254333936350484
242,CALI2,A07,AgPool4,4,225000.0,ng/mL,IL-12 p40,IL-23,-3.875925910694633
243,CALI2,A08,AgPool4,4,147.45600000000002,ng/mL,IL-12 p40,IL-23,0.5540737858087397
244,CALI2,A09,AgPool5,5,225000.0,ng/mL,IL-12 p70,IL-23,-2.1601603638078615
245,CALI2,A10,AgPool5,5,147.45600000000002,ng/mL,IL-12 p70,IL-23,-1.3180522958350593
246,CALI2,B03,AgPool2,2,90000.0,ng/mL,IL-23,IL-23,58.293500466037784
